epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,450.335,1.69627,2.34577,1.45625,0.7835,0.893,0.90091,0.46665,1.55824,1.99458,1.41828,0.00066087,0.00066087,0.00066087
2,890.607,1.44504,1.3947,1.2863,0.94089,0.9819,0.98766,0.55171,1.45139,1.36653,1.42017,0.000998971,0.000998971,0.000998971
3,1331.65,1.36698,1.12392,1.21947,0.98695,0.98236,0.99412,0.59888,1.36281,1.07018,1.31224,0.000513507,0.000513507,0.000513507
